PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35,PC36,PC37,PC38,PC39,PC40,PC41,PC42,PC43,PC44,PC45,PC46,PC47,PC48,PC49,PC50,PC51,PC52,PC53,PC54,PC55,PC56,PC57,PC58,PC59,PC60,PC61,PC62,PC63,PC64,PC65,PC66,PC67,PC68,PC69,PC70,PC71,PC72,PC73,PC74,PC75
-0.0,-0.001,0.0,0.01,-0.0,0.954,0.056,0.293,0.025,-0.0,-0.0,-0.0,-0.0,-0.0,0.001,-0.0,-0.0,-0.0,-0.001,-0.0,-0.0,-0.0,-0.001,-0.0,-0.0,-0.0,-0.001,0.0,-0.0,-0.0,0.001,-0.0,-0.0,-0.0,0.002,-0.0,-0.0,-0.0,0.003,-0.001,-0.0,-0.0,0.001,-0.0,-0.0,-0.0,0.002,-0.0,0.0,-0.0,-0.001,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.001,-0.0,-0.0,-0.0,0.005,0.001,-0.0,-0.0,0.007,0.001,-0.0,-0.0,0.01,0.001,-0.0,-0.0,0.0
-0.0,0.0,-0.0,-0.997,-0.0,0.009,-0.003,0.006,0.0,0.0,-0.008,-0.002,-0.0,-0.0,-0.006,-0.003,-0.0,-0.0,-0.003,-0.0,-0.0,-0.0,-0.004,-0.0,-0.0,-0.0,-0.007,-0.001,-0.0,-0.0,-0.018,-0.006,-0.0,-0.0,-0.021,-0.008,-0.001,-0.0,-0.024,-0.012,-0.001,-0.0,-0.013,-0.002,-0.0,-0.0,-0.008,-0.0,-0.003,-0.0,-0.006,-0.0,-0.0,-0.0,-0.007,-0.0,-0.0,-0.0,-0.011,-0.001,-0.0,-0.0,-0.026,-0.009,-0.001,-0.0,-0.03,-0.013,-0.001,-0.0,-0.035,-0.019,-0.001,-0.0,0.0
-0.0,0.001,-0.0,0.062,-0.0,-0.018,-0.536,0.204,-0.186,-0.0,-0.071,-0.037,-0.002,-0.001,-0.058,-0.044,-0.001,-0.001,-0.014,-0.001,-0.0,-0.0,-0.019,-0.003,-0.0,-0.0,-0.054,-0.025,-0.001,-0.001,-0.176,-0.1,-0.004,-0.002,-0.211,-0.13,-0.004,-0.003,-0.253,-0.174,-0.005,-0.004,-0.099,-0.037,-0.002,-0.001,-0.078,-0.001,-0.045,-0.002,-0.024,-0.002,-0.0,-0.0,-0.031,-0.004,-0.001,-0.0,-0.078,-0.022,-0.002,-0.0,-0.242,-0.151,-0.005,-0.003,-0.289,-0.197,-0.006,-0.004,-0.348,-0.26,-0.007,-0.006,0.0
-0.002,0.001,-0.0,0.026,0.0,0.256,0.209,-0.862,0.03,0.0,-0.046,-0.01,-0.001,-0.0,-0.034,-0.016,-0.001,-0.0,-0.015,-0.0,-0.0,-0.0,-0.018,-0.001,-0.0,-0.0,-0.036,-0.005,-0.001,-0.0,-0.103,-0.03,-0.002,-0.001,-0.122,-0.043,-0.002,-0.001,-0.143,-0.063,-0.003,-0.001,-0.057,-0.01,-0.001,-0.0,-0.041,-0.0,-0.014,-0.001,-0.019,-0.0,-0.0,-0.0,-0.023,-0.001,-0.0,-0.0,-0.046,-0.005,-0.001,-0.0,-0.127,-0.039,-0.002,-0.001,-0.149,-0.056,-0.002,-0.001,-0.176,-0.081,-0.003,-0.002,-0.0
-0.003,0.0,-0.0,0.035,0.0,-0.153,0.735,0.355,0.267,0.0,-0.044,-0.004,-0.001,-0.0,-0.036,-0.014,-0.001,-0.0,-0.015,-0.0,-0.0,0.0,-0.017,-0.0,-0.0,0.0,-0.033,-0.0,-0.001,0.0,-0.104,-0.014,-0.002,-0.0,-0.124,-0.026,-0.003,-0.001,-0.143,-0.046,-0.003,-0.001,-0.088,-0.004,-0.002,-0.0,-0.06,-0.0,-0.011,-0.001,-0.035,-0.0,-0.001,0.0,-0.04,-0.0,-0.001,0.0,-0.072,-0.0,-0.001,-0.0,-0.189,-0.039,-0.004,-0.001,-0.219,-0.065,-0.004,-0.001,-0.251,-0.105,-0.005,-0.002,-0.0
0.004,-0.001,0.001,-0.008,-0.0,-0.012,0.166,-0.008,-0.045,-0.0,0.046,-0.098,0.0,-0.002,0.017,-0.071,-0.0,-0.002,0.066,-0.005,0.001,-0.0,0.062,-0.009,0.001,-0.0,0.036,-0.074,0.0,-0.002,0.029,-0.268,-0.002,-0.007,0.024,-0.319,-0.002,-0.008,0.003,-0.355,-0.003,-0.009,0.167,-0.098,0.002,-0.002,0.075,-0.002,-0.083,0.001,0.137,-0.007,0.002,-0.0,0.138,-0.014,0.002,-0.0,0.145,-0.066,0.002,-0.001,0.237,-0.327,0.002,-0.008,0.252,-0.354,0.001,-0.009,0.236,-0.34,0.0,-0.01,0.001
-0.011,0.003,-0.001,0.004,0.0,-0.008,-0.134,-0.002,0.419,0.0,-0.222,-0.073,-0.006,-0.002,0.025,-0.026,-0.001,-0.001,-0.199,-0.009,-0.005,-0.0,-0.209,-0.015,-0.005,-0.0,-0.253,-0.075,-0.007,-0.002,-0.157,-0.161,-0.007,-0.006,-0.092,-0.162,-0.006,-0.006,-0.011,-0.144,-0.005,-0.006,-0.228,-0.073,-0.007,-0.002,0.121,-0.001,-0.014,0.001,-0.291,-0.011,-0.006,-0.0,-0.293,-0.02,-0.007,-0.0,-0.295,-0.075,-0.008,-0.002,0.024,-0.033,-0.004,-0.003,0.161,0.037,-0.002,-0.003,0.322,0.145,0.001,-0.001,-0.001
0.017,-0.002,0.001,-0.001,0.0,0.007,-0.272,-0.032,0.814,0.0,0.088,0.003,0.002,0.0,-0.054,0.002,-0.001,0.0,0.119,0.002,0.003,-0.0,0.12,0.001,0.003,-0.0,0.113,-0.001,0.003,-0.0,-0.008,0.016,0.0,0.0,-0.056,0.016,-0.001,0.0,-0.102,0.005,-0.001,0.0,0.176,0.003,0.004,0.0,-0.074,-0.0,-0.009,-0.001,0.219,0.0,0.004,-0.0,0.222,-0.0,0.004,-0.0,0.217,-0.003,0.004,-0.0,0.029,0.031,0.001,0.001,-0.04,0.02,-0.0,0.0,-0.103,-0.001,-0.001,-0.0,-0.0
0.013,-0.011,-0.002,0.0,0.0,0.016,-0.076,-0.051,0.218,-0.0,0.1,0.004,0.002,0.0,0.144,0.02,0.003,0.001,-0.002,0.0,0.0,0.0,0.006,0.001,0.0,0.0,0.052,0.005,0.001,0.0,0.318,0.058,0.007,0.002,0.404,0.08,0.008,0.002,0.473,0.124,0.01,0.003,-0.165,0.004,-0.002,0.0,0.02,0.0,-0.003,0.001,-0.155,-0.0,-0.003,-0.0,-0.16,-0.0,-0.003,-0.0,-0.188,0.012,-0.003,0.0,-0.145,-0.194,-0.001,-0.003,-0.128,-0.267,-0.001,-0.004,-0.135,-0.346,-0.001,-0.005,-0.0
-0.049,0.011,-0.002,0.0,0.0,-0.003,-0.017,0.001,0.058,0.0,-0.035,0.2,0.001,0.005,0.023,0.014,0.002,0.002,-0.109,0.022,-0.002,0.0,-0.097,0.041,-0.002,0.001,-0.014,0.226,0.001,0.005,-0.052,0.38,0.004,0.012,-0.15,0.265,0.003,0.01,-0.295,0.019,0.001,0.007,0.04,0.2,0.003,0.005,0.203,0.003,0.078,0.005,-0.135,0.029,-0.002,0.001,-0.129,0.054,-0.002,0.001,0.003,0.221,0.002,0.005,0.276,0.091,0.01,0.007,0.212,-0.17,0.009,0.003,0.035,-0.461,0.007,-0.001,-0.001
